id,parentId,type,title,durationSeconds,capacitySeconds,languageCode,languageFamily,era,region,detail,extra
golden-record,,SECTION,Golden Record,,6600,,,,,,
side-1,golden-record,SECTION,Side 1,,3300,,,,,,
sec-images,side-1,SECTION,Encoded Images,,,,,,,"115 images encoded as analogue audio; colour images are three successive frames (R, G, B) the recipient must recombine.",
img-grp-reference,sec-images,SECTION,Reference and Mathematics,,,,,,,,
img-001,img-grp-reference,IMAGE,Calibration circle,2,,,,,REFERENCE,NASA,MONO
img-002,img-grp-reference,IMAGE,Solar location map,2,,,,,REFERENCE,Frank Drake / Cornell,MONO
img-003,img-grp-reference,IMAGE,Mathematical definitions,2,,,,,SCIENCE,Frank Drake,MONO
img-004,img-grp-reference,IMAGE,Physical unit definitions,2,,,,,SCIENCE,Frank Drake,MONO
img-005,img-grp-reference,IMAGE,Solar system parameters,2,,,,,SCIENCE,Frank Drake,MONO
img-007,img-grp-reference,IMAGE,Solar spectrum,2,,,,,SCIENCE,Hale Observatories,MONO
img-013,img-grp-reference,IMAGE,Chemical definitions,2,,,,,SCIENCE,Frank Drake,MONO
img-098,img-grp-reference,IMAGE,X-ray of hand,7,,,,,SCIENCE,Dr. Frank Drake,COLOUR
img-099,img-grp-reference,IMAGE,Woman with microscope,7,,,,,SCIENCE,UN,COLOUR
img-108,img-grp-reference,IMAGE,"Radio telescope, Westerbork, Netherlands",7,,,,,SCIENCE,James Blair,COLOUR
img-109,img-grp-reference,IMAGE,"Radio telescope, Arecibo",7,,,,,SCIENCE,NAIC / Cornell,COLOUR
img-110,img-grp-reference,IMAGE,"Page of book — Newton, System of the World",2,,,,,SCIENCE,Isaac Newton,MONO
img-grp-astronomy,sec-images,SECTION,Astronomy,,,,,,,,
img-006,img-grp-astronomy,IMAGE,The Sun,2,,,,,ASTRONOMY,Hale Observatories,MONO
img-008,img-grp-astronomy,IMAGE,Mercury,2,,,,,ASTRONOMY,NASA,MONO
img-009,img-grp-astronomy,IMAGE,Mars,2,,,,,ASTRONOMY,NASA,MONO
img-010,img-grp-astronomy,IMAGE,Jupiter,2,,,,,ASTRONOMY,NASA,MONO
img-011,img-grp-astronomy,IMAGE,Earth,7,,,,,ASTRONOMY,NASA,COLOUR
img-grp-biology,sec-images,SECTION,Biology and the Human Body,,,,,,,,
img-014,img-grp-biology,IMAGE,"DNA structure, magnified",2,,,,,BIOLOGY,Jon Lomberg,MONO
img-015,img-grp-biology,IMAGE,DNA structure and replication,2,,,,,BIOLOGY,Jon Lomberg,MONO
img-016,img-grp-biology,IMAGE,Cells and cell division,2,,,,,BIOLOGY,Turtox / Cambosco,MONO
img-017,img-grp-biology,IMAGE,Anatomy 1: bone structure,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-018,img-grp-biology,IMAGE,Anatomy 2: muscle structure,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-019,img-grp-biology,IMAGE,Anatomy 3: circulatory system,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-020,img-grp-biology,IMAGE,Anatomy 4: nervous system,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-021,img-grp-biology,IMAGE,Anatomy 5: respiratory system,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-022,img-grp-biology,IMAGE,Anatomy 6: digestive system,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-023,img-grp-biology,IMAGE,Anatomy 7: urogenital system,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-024,img-grp-biology,IMAGE,Anatomy 8: sense organs,2,,,,,BIOLOGY,World Book Encyclopedia,MONO
img-025,img-grp-biology,IMAGE,Human sex organs,2,,,,,BIOLOGY,Life Science Library,MONO
img-026,img-grp-biology,IMAGE,Diagram of conception,2,,,,,BIOLOGY,Jon Lomberg,MONO
img-027,img-grp-biology,IMAGE,Conception,2,,,,,BIOLOGY,Albert Bonniers Forlag,MONO
img-028,img-grp-biology,IMAGE,Fertilised ovum,2,,,,,BIOLOGY,Albert Bonniers Forlag,MONO
